GEOID10,H72003_dp,H72004_dp,H72005_dp,H72006_dp,H72007_dp,H72008_dp,H72009_dp,H72003_sf,H72004_sf,H72005_sf,H72006_sf,H72007_sf,H72008_sf,H72009_sf
390490037002,147,460,2,12,0,1,30,157,458,6,8,0,2,21
390490037003,118,365,0,4,0,3,21,125,355,0,2,0,6,40
390490037004,278,555,13,6,0,1,39,265,559,4,12,0,2,31
390490037005,184,328,2,2,0,2,29,187,324,9,1,0,4,30
390490038001,487,230,6,5,0,1,33,485,235,4,3,0,3,19
390490038002,457,622,5,5,0,8,40,464,613,3,9,1,5,52
390490040001,974,537,8,49,0,12,63,978,541,6,50,0,13,65
390490040002,927,246,2,61,0,22,34,920,244,4,62,0,18,40
390490042001,503,794,7,0,0,7,56,503,789,5,1,2,9,61
390490043001,2512,65,3,198,0,23,49,2503,70,3,206,1,20,61
390490043002,950,94,1,41,2,44,49,958,90,0,28,1,39,47
390490043003,504,93,2,6,1,19,36,508,90,4,6,0,31,24
390490043004,595,241,6,19,0,17,42,585,248,6,21,0,19,44
390490045001,767,111,0,5,0,16,45,760,106,2,7,0,19,45
390490045002,563,209,8,2,0,31,54,593,200,2,3,0,24,50
390490045003,561,89,3,11,0,21,37,577,77,2,14,0,30,56
390490045004,704,94,1,19,0,24,49,670,114,10,13,0,13,34
390490045005,1424,171,12,24,0,37,63,1419,176,11,25,0,37,65
390490046101,806,38,6,3,0,16,23,792,32,4,1,1,13,17
390490046102,615,41,0,6,0,25,34,631,50,1,5,0,30,36
390490046103,785,59,1,3,0,10,37,792,55,4,5,0,7,35
390490046104,739,52,2,21,0,24,24,733,52,2,24,0,26,20
390490046201,587,139,4,16,0,30,62,587,141,2,14,0,34,51
390490046202,750,131,0,22,0,63,36,732,131,4,20,0,52,61
390490046203,596,100,4,22,0,33,60,592,103,7,27,0,41,60
390490047001,276,235,2,10,0,35,53,278,250,4,14,0,42,69
390490047002,485,584,10,33,0,56,104,495,565,3,28,0,61,81
390490047003,351,238,11,16,0,51,47,345,228,18,19,1,46,36
390490047004,385,240,7,6,0,31,40,390,258,0,0,0,23,61
390490047005,658,171,4,20,0,34,63,646,181,10,19,2,33,55
390490047006,539,82,5,2,0,43,46,543,73,1,1,0,42,50
390490048101,756,132,5,40,0,25,31,754,135,6,44,0,29,43
390490048102,541,68,3,13,0,29,23,536,80,3,7,0,28,14
390490048103,1050,73,3,19,0,34,47,1051,64,2,20,0,27,48
390490048201,691,273,4,18,2,47,52,696,261,8,20,0,50,57
390490048202,481,89,3,7,0,37,20,461,96,0,9,1,32,8
390490048203,637,156,0,17,4,20,29,661,140,0,32,0,25,32
390490049001,760,94,0,2,1,27,30,764,90,0,2,0,24,21
390490049002,657,145,0,10,1,21,35,661,134,1,25,0,17,28
390490049003,812,180,3,40,3,9,32,824,177,4,19,7,12,46
390490049004,683,114,6,18,0,37,43,657,110,10,27,0,27,43
390490049005,606,394,2,26,1,51,63,622,408,3,32,0,62,61
390490049006,369,293,3,7,0,30,40,354,301,0,1,0,30,47
390490050001,594,88,8,6,0,0,32,568,95,10,10,0,4,50
390490050002,644,101,4,9,0,7,47,623,124,2,2,0,6,48
390490050003,533,79,6,14,0,7,49,576,63,4,13,0,1,30
390490050004,628,58,0,1,0,5,27,608,56,0,4,0,11,31
390490050005,588,91,1,2,0,2,20,606,100,4,2,0,0,22
390490050006,905,218,8,11,0,3,65,897,205,7,15,0,14,50
390490050007,184,138,3,3,0,4,12,182,143,4,0,0,0,15
390490051001,538,931,4,12,7,9,72,546,919,9,13,7,8,68
390490051002,271,62,8,0,2,3,6,271,77,1,0,0,6,3
390490052001,803,87,2,10,0,5,30,795,89,2,13,0,5,27
390490052002,1512,43,1,45,0,2,43,1520,50,2,45,0,5,31
390490053001,75,424,0,7,0,1,16,56,413,2,4,0,4,18
390490053002,109,685,1,2,0,5,30,127,694,3,6,0,3,36
390490053003,319,636,3,6,0,3,26,304,628,3,4,0,3,19
390490053004,170,514,1,3,0,1,15,187,516,1,5,0,2,16
390490054101,96,1216,3,1,0,7,39,92,1216,6,2,0,4,42
390490054201,33,653,0,2,0,10,24,38,657,0,1,0,13,13
390490054202,50,566,2,4,0,9,24,47,545,1,0,0,9,31
390490054203,85,650,2,6,0,3,28,92,660,4,6,0,2,32
390490055001,33,575,1,0,0,1,36,37,571,2,1,0,6,15
390490055002,29,708,1,1,0,9,9,26,724,1,1,0,1,29
390490055003,40,576,1,1,0,4,22,43,562,1,2,0,8,32
390490055004,31,360,1,4,0,4,42,35,372,1,5,0,1,26
390490055005,85,552,0,0,0,5,32,92,548,5,1,0,4,42
390490055006,64,296,4,0,0,8,36,56,306,1,3,0,15,38
390490055007,53,544,5,0,0,10,44,50,522,2,1,0,7,33
390490056101,316,499,3,0,0,5,37,313,515,4,0,0,3,45
390490056102,261,563,10,4,0,16,67,260,557,5,2,0,17,63
390490056201,321,213,1,4,0,6,26,332,223,4,1,0,14,23
390490056202,352,242,3,1,0,9,18,323,240,0,7,0,0,19
390490056203,454,202,0,7,0,14,21,463,213,1,2,0,11,24
390490056204,459,143,5,7,0,1,35,462,139,5,4,0,1,31
390490057001,707,102,0,10,0,5,21,720,112,5,8,0,5,17
390490057002,1059,34,2,8,0,0,22,1043,22,0,18,0,3,13
390490057003,1523,61,3,47,0,3,22,1531,53,3,42,0,4,30
390490058101,683,15,1,12,0,12,10,688,20,0,6,0,4,12
390490058102,523,25,0,6,0,3,9,514,32,0,0,1,4,13
390490058103,1121,73,1,14,0,10,30,1128,69,1,18,0,11,27
390490058201,792,72,2,13,0,9,42,785,74,3,17,0,15,45
390490058202,1183,58,8,8,0,3,43,1188,55,7,9,0,0,32
390490059001,109,488,10,6,1,2,43,102,497,8,6,2,4,41
390490059002,242,351,2,1,0,5,27,245,358,3,10,0,3,24
390490059003,156,422,3,13,0,3,27,151,396,1,8,0,4,36
390490059004,99,512,0,2,1,2,16,100,522,5,4,0,0,16
390490060001,217,306,0,1,0,3,25,232,328,1,0,0,7,22
390490060002,481,588,1,6,0,7,58,466,571,1,7,0,12,77
390490060003,472,106,0,4,0,17,53,483,100,1,1,0,6,30
390490061001,419,55,0,1,0,0,16,413,63,1,0,0,7,21
390490061002,467,197,11,3,0,8,23,464,200,7,3,0,2,19
390490061003,606,81,7,0,0,4,28,610,87,16,4,0,10,32
390490061004,349,74,3,3,0,14,26,352,64,0,0,0,3,20
390490062201,1543,35,0,138,1,38,29,1545,45,2,139,0,31,34
390490062202,585,14,1,25,0,3,15,580,9,0,30,0,2,6
390490062203,1213,81,1,173,0,3,28,1211,75,1,165,1,10,36
390490062204,1068,14,1,109,1,7,35,1082,21,1,110,0,2,23
390490062205,1114,42,1,144,0,39,27,1105,37,2,149,0,44,29
390490062301,525,64,0,546,0,18,31,539,49,1,554,0,13,32
390490062302,5139,200,11,1539,0,27,172,5135,202,9,1525,2,28,176
390490062303,1279,61,3,641,1,17,53,1269,53,0,621,0,14,59
390490062304,2366,109,2,133,0,125,63,2363,125,2,163,0,129,64
390490062361,1523,19,0,66,0,6,19,1500,14,0,69,0,6,35
390490062362,1435,25,1,191,1,0,27,1462,27,0,191,0,0,24
390490062363,2387,27,1,210,0,1,38,2392,29,0,199,0,3,28
390490063101,1187,2,0,39,0,5,25,1189,2,0,48,0,3,13
390490063102,975,7,0,58,0,5,18,990,10,1,49,0,4,20
