PUMAID,SEX,RAC1P,AGEP,DIS,MSP,MIG,MIL,SCHL,FOD1P,HICOV,PRIVCOV,PUBCOV,PINCP,POVPIP,COW,ESR,SOCP,JWMNP,JWRIP,JWTRNS
3904103,2,1,30,2,6.0,1.0,4.0,16.0,,1,1,2,29000.0,235.0,1.0,1.0,412031,25.0,1.0,1.0
3904111,2,1,90,1,3.0,1.0,4.0,13.0,,1,1,1,27200.0,239.0,,6.0,,,,
3904103,1,1,44,2,1.0,3.0,4.0,21.0,5501.0,1,1,2,65000.0,356.0,1.0,1.0,151299,45.0,1.0,1.0
3904103,2,1,45,2,1.0,3.0,4.0,20.0,,1,1,2,3000.0,356.0,1.0,1.0,412031,15.0,1.0,1.0
3904103,2,1,7,2,,3.0,,4.0,,1,1,2,,356.0,,,,,,
3904108,2,1,53,2,1.0,1.0,4.0,20.0,,1,1,2,51000.0,386.0,2.0,1.0,119141,37.0,1.0,1.0
3904108,1,1,54,1,1.0,1.0,2.0,18.0,,1,2,1,10200.0,386.0,,6.0,,,,
3904109,2,1,46,2,1.0,1.0,4.0,19.0,,1,1,2,72000.0,475.0,1.0,1.0,131070,35.0,1.0,1.0
3904109,1,1,43,2,1.0,1.0,4.0,16.0,,1,1,2,42000.0,475.0,1.0,1.0,533030,30.0,1.0,1.0
3904109,2,1,12,2,,1.0,,10.0,,1,1,2,,475.0,,,,,,
3904109,2,1,12,2,,1.0,,10.0,,1,1,2,,475.0,,,,,,
3904107,2,1,70,2,4.0,1.0,4.0,21.0,2304.0,1,1,1,39000.0,343.0,3.0,6.0,252020,,,
3904110,2,2,66,2,4.0,1.0,4.0,16.0,,1,1,1,49000.0,409.0,1.0,1.0,439041,20.0,1.0,1.0
3904110,1,2,37,1,6.0,1.0,4.0,16.0,,1,2,1,9600.0,409.0,,6.0,,,,
3904104,1,1,36,2,6.0,1.0,4.0,22.0,2412.0,1,1,2,58000.0,471.0,1.0,1.0,172110,30.0,1.0,1.0
3904104,2,1,63,2,1.0,1.0,4.0,18.0,,1,1,2,7020.0,501.0,1.0,1.0,439022,15.0,1.0,1.0
3904104,1,1,63,2,1.0,1.0,4.0,19.0,,1,1,2,82000.0,501.0,1.0,1.0,533030,10.0,1.0,1.0
3904111,2,1,55,2,4.0,1.0,4.0,16.0,,1,1,2,55000.0,347.0,5.0,1.0,435052,10.0,1.0,1.0
3904111,1,1,24,2,6.0,1.0,4.0,16.0,,1,1,2,0.0,347.0,1.0,3.0,331090,,,
3904103,2,1,38,2,1.0,1.0,4.0,24.0,2407.0,1,1,2,180000.0,501.0,2.0,1.0,291020,20.0,1.0,1.0
3904103,1,1,44,2,1.0,1.0,4.0,22.0,6201.0,1,1,2,60000.0,501.0,2.0,1.0,212011,30.0,1.0,1.0
3904103,1,1,13,2,,1.0,,9.0,,1,1,2,,501.0,,,,,,
3904103,1,1,8,2,,1.0,,5.0,,1,1,2,,501.0,,,,,,
3904103,2,1,2,2,,1.0,,,,1,1,2,,501.0,,,,,,
3904101,2,1,89,1,4.0,3.0,4.0,16.0,,1,2,1,19100.0,,,6.0,,,,
3904106,1,1,48,2,1.0,1.0,4.0,21.0,6203.0,1,1,2,285000.0,501.0,6.0,1.0,1191XX,,,11.0
3904106,2,1,49,2,1.0,1.0,4.0,21.0,6203.0,1,1,2,45000.0,501.0,4.0,1.0,151211,25.0,1.0,1.0
3904106,2,1,21,2,6.0,1.0,4.0,19.0,,1,1,2,1000.0,501.0,1.0,6.0,311122,,,
3904106,1,1,20,2,6.0,1.0,4.0,19.0,,1,1,2,2000.0,501.0,2.0,6.0,1940YY,,,
3904106,1,1,17,2,6.0,1.0,4.0,14.0,,1,1,2,0.0,501.0,,6.0,,,,
3904107,2,1,70,2,3.0,1.0,4.0,22.0,3600.0,1,1,1,38600.0,340.0,2.0,6.0,37201X,,,
3904104,2,1,43,2,1.0,1.0,4.0,15.0,,1,1,2,25400.0,501.0,1.0,1.0,399011,,,11.0
3904104,1,1,44,2,1.0,1.0,4.0,15.0,,1,1,2,200000.0,501.0,1.0,1.0,411011,,,11.0
3904104,1,1,9,2,,1.0,,5.0,,1,1,2,,501.0,,,,,,
3904104,1,1,7,1,,1.0,,4.0,,1,1,2,,501.0,,,,,,
3904105,1,1,65,2,1.0,1.0,2.0,19.0,,1,2,1,56300.0,501.0,7.0,1.0,419010,15.0,1.0,1.0
3904105,2,1,61,2,1.0,1.0,4.0,16.0,,1,1,2,23200.0,501.0,1.0,1.0,433031,15.0,1.0,1.0
3904105,2,1,26,2,6.0,3.0,4.0,24.0,2306.0,1,1,2,64000.0,501.0,1.0,1.0,291123,20.0,1.0,1.0
3904105,1,1,30,2,6.0,3.0,2.0,21.0,1901.0,1,2,1,35100.0,284.0,1.0,1.0,1191XX,27.0,1.0,1.0
3904103,1,1,26,2,6.0,3.0,4.0,16.0,,1,1,2,52000.0,422.0,1.0,1.0,499071,25.0,1.0,1.0
3904103,2,1,24,2,6.0,3.0,4.0,21.0,6107.0,1,1,2,32000.0,259.0,1.0,1.0,291141,10.0,1.0,1.0
3904105,1,1,75,2,4.0,1.0,4.0,24.0,5200.0,1,1,1,57200.0,501.0,6.0,6.0,19303X,,,
3904111,2,1,57,2,1.0,1.0,2.0,20.0,,1,1,2,25400.0,398.0,1.0,1.0,434051,30.0,1.0,1.0
3904111,1,1,69,1,1.0,1.0,4.0,19.0,,1,1,1,37800.0,398.0,,6.0,,,,
3904105,1,2,20,2,6.0,1.0,4.0,19.0,,1,1,2,5900.0,,1.0,1.0,292052,5.0,,10.0
3904102,2,1,41,2,6.0,1.0,4.0,21.0,5200.0,1,1,2,42000.0,341.0,1.0,1.0,434111,10.0,1.0,1.0
3904105,2,1,63,2,4.0,1.0,4.0,20.0,,1,1,2,33000.0,267.0,1.0,1.0,439XXX,15.0,1.0,1.0
3904110,1,1,44,2,1.0,1.0,4.0,19.0,,1,1,2,56000.0,501.0,1.0,1.0,151230,45.0,1.0,1.0
3904110,2,1,59,2,1.0,1.0,4.0,17.0,,1,1,2,26000.0,501.0,1.0,1.0,434171,10.0,1.0,1.0
3904107,2,1,33,2,6.0,1.0,4.0,21.0,3600.0,1,1,2,50000.0,406.0,4.0,1.0,1910XX,20.0,1.0,1.0
3904107,2,1,33,2,6.0,1.0,4.0,22.0,6203.0,1,1,2,150000.0,501.0,1.0,1.0,151211,15.0,1.0,1.0
3904110,2,2,26,2,6.0,1.0,4.0,17.0,,2,2,2,0.0,0.0,,6.0,,,,
3904110,2,2,29,2,6.0,1.0,4.0,16.0,,2,2,2,0.0,0.0,,6.0,,,,
3904110,2,1,64,1,4.0,1.0,4.0,16.0,,1,2,1,14400.0,116.0,,6.0,,,,
3904101,2,2,38,2,1.0,1.0,4.0,21.0,6203.0,1,1,2,41600.0,302.0,1.0,1.0,132051,60.0,1.0,1.0
3904101,1,2,38,2,1.0,1.0,4.0,19.0,,1,1,2,31000.0,302.0,1.0,1.0,113121,5.0,1.0,1.0
3904101,2,2,15,2,6.0,1.0,,11.0,,1,1,2,0.0,302.0,,,,,,
3904101,1,2,13,2,,1.0,,10.0,,1,1,2,,302.0,,,,,,
3904108,1,1,23,2,2.0,1.0,3.0,16.0,,1,1,2,85000.0,501.0,1.0,1.0,472111,20.0,1.0,1.0
3904109,2,1,78,2,3.0,1.0,4.0,17.0,,1,1,1,30100.0,265.0,,6.0,,,,
3904102,1,1,70,1,1.0,1.0,3.0,21.0,2309.0,1,2,1,27200.0,501.0,1.0,6.0,491011,,,
3904102,2,8,70,2,1.0,1.0,4.0,16.0,,1,2,1,55100.0,501.0,1.0,1.0,292061,20.0,1.0,1.0
3904110,1,1,56,2,1.0,1.0,4.0,15.0,,1,1,1,35100.0,293.0,,6.0,,,,
3904110,2,1,57,2,1.0,1.0,4.0,21.0,1902.0,1,1,2,16300.0,293.0,1.0,1.0,434171,25.0,1.0,1.0
3904110,2,1,20,2,6.0,1.0,4.0,19.0,,1,1,2,3000.0,293.0,1.0,1.0,412031,15.0,1.0,1.0
3904101,1,2,50,2,1.0,1.0,2.0,21.0,6212.0,1,1,1,105100.0,501.0,1.0,1.0,5191XX,15.0,1.0,1.0
3904101,2,1,41,2,1.0,1.0,4.0,19.0,,1,1,2,32000.0,501.0,2.0,1.0,399032,15.0,1.0,1.0
3904101,1,2,67,2,1.0,1.0,4.0,1.0,,1,2,1,4100.0,57.0,,6.0,,,,
3904101,2,2,60,2,1.0,1.0,4.0,1.0,,1,2,1,4100.0,57.0,,6.0,,,,
3904102,1,8,30,2,1.0,1.0,4.0,16.0,,2,2,2,14000.0,73.0,1.0,1.0,373011,30.0,1.0,1.0
3904102,2,8,31,2,1.0,1.0,4.0,16.0,,2,2,2,0.0,73.0,1.0,6.0,372012,,,
3904102,1,1,4,2,,1.0,,1.0,,1,2,1,,73.0,,,,,,
3904105,1,1,35,2,6.0,1.0,4.0,23.0,3700.0,1,1,2,135000.0,501.0,1.0,1.0,2310XX,20.0,,2.0
